Day,1:00,2:00,3:00,4:00,5:00,5:30,6:00,6:30,7:00,7:30,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,22:00,23:00,0:00
1,903.27,848.72,848.42,844.32,856.17,864.17,879.42,898.42,941.86,946.26,924.76,908.16,861.26,871.26,901.26,888.36,884.56,896.71,918.66,922.62,1154.02,1191.32,1195.02,1205.37,1259.97,1288.12,1253.52,1189.57,937.62,908.17,862.32
2,891.17,860.62,859.72,841.12,767.07,710.87,780.72,783.52,808.96,834.96,826.16,811.36,860.46,873.06,901.56,912.26,908.86,849.51,847.26,844.82,837.22,835.42,842.42,869.77,1231.27,1173.12,1155.12,1151.07,902.62,918.97,886.62
3,873.57,852.62,841.12,827.12,810.77,804.47,840.62,837.12,860.26,856.36,864.86,851.86,854.66,840.86,869.16,858.56,813.26,839.81,845.66,785.02,789.52,793.12,793.12,840.87,904.97,1247.72,1242.02,917.37,893.12,878.77,869.02
4,836.87,827.12,822.32,808.32,798.87,806.47,818.72,842.92,869.46,902.96,883.26,921.96,928.96,930.66,925.26,940.46,954.36,956.21,957.46,935.12,913.92,917.72,955.02,1082.47,1276.37,1303.12,1297.92,1247.47,1094.92,949.67,923.12
5,905.57,871.32,875.92,846.92,841.57,844.77,851.02,921.92,935.56,965.16,949.06,907.06,930.06,989.76,956.46,959.36,932.66,925.41,889.96,917.92,894.02,898.32,885.62,1115.27,1207.47,1217.92,1256.22,1169.57,1033.42,933.47,940.82
6,841.67,803.12,783.02,760.82,787.37,791.17,812.02,823.92,854.36,879.66,888.96,860.16,854.86,885.76,889.36,894.36,913.96,944.51,941.56,945.82,853.82,878.92,873.82,910.57,1215.97,1217.12,1220.22,989.17,887.92,884.87,873.42
7,849.47,766.72,724.52,684.32,684.07,716.27,712.82,746.52,800.36,838.76,828.66,820.36,839.06,910.46,886.56,910.06,921.36,879.21,908.16,866.52,872.72,813.52,837.02,950.57,676.67,1197.22,1129.42,1086.07,899.42,892.17,828.42
8,829.67,790.72,793.22,772.72,776.17,765.17,801.12,812.42,822.66,869.16,868.86,887.76,920.36,948.96,934.66,916.26,910.66,912.91,912.26,891.42,884.12,820.32,845.22,957.47,1213.67,1246.32,1206.52,1140.37,904.82,896.67,899.72
9,845.37,841.42,830.42,812.02,804.57,826.67,824.22,844.12,860.96,891.56,957.56,932.57,900.86,928.36,950.96,928.36,999.16,1011.01,995.39,967.02,986.22,967.12,977.12,1039.87,1228.27,1256.72,1247.52,1261.97,1075.32,919.47,908.42
10,869.27,748.42,817.72,815.22,817.37,813.27,814.82,839.12,846.56,852.36,907.76,901.76,902.56,878.66,879.76,880.66,782.36,795.21,789.36,798.32,772.22,774.72,713.02,751.37,889.57,1228.22,1218.32,1117.57,1002.72,897.07,875.52
11,873.09,853.44,858.84,846.94,864.49,844.19,833.64,866.74,900.38,914.28,925.88,945.18,949.68,841.91,911.88,952.38,894.78,949.23,910.68,933.63,931.43,951.84,884.84,870.09,954.19,1311.14,1283.34,965.49,948.44,974.79,950.94
12,926.85,917.4,281.5,281.5,281.05,281.05,841.2,872.3,882.34,892.44,926.14,927.64,952.84,939.64,936.54,934.24,925.44,143.29,871.84,872.79,873.39,872,883.9,888.75,931.85,1218.3,1254.9,1138.05,952.4,943.15,0
13,943.15,897.9,838.4,860.1,841.95,873.95,878.9,873,882.64,873.74,965.84,996.24,1031.34,988.04,973.34,978.94,934.44,944.39,903.44,903.69,927.19,902.6,918.3,1059.05,1205.05,1262.1,1267.1,1177.15,915.4,905.55,892.9
14,876.45,822.6,847.4,789.1,780.95,797.25,778.9,787.5,790.14,812.84,817.84,803.34,808.64,818.94,843.74,828.54,803.64,816.19,888.84,858.89,852.39,844.1,1039.9,1137.95,1225.25,1232.2,1271.9,1185.65,900.2,833.75,838.8
15,823.1,817.5,801.9,787.3,798.75,800.45,815.7,843.4,851.54,880.34,900.64,904.74,902.14,936.44,928.94,936.84,919.34,923.19,917.74,862.29,867.29,869.3,898.5,833.55,1208.25,1275.8,1269.1,1226.05,921.4,907.75,903.5
16,885.55,853.3,835.9,823,795.35,790.95,815.2,846.2,836.84,958.74,836.74,855.84,141.24,854.84,909.04,919.24,923.24,925.39,926.14,900.19,902.99,883.7,930.8,1115.75,1229.05,956.1,968.8,942.45,141.7,849.75,842.8
17,808.95,770.4,736.3,744.8,751.65,738.85,739.8,762.5,817.24,801.24,817.94,802.44,823.24,843.94,806.94,770.64,779.04,795.89,810.24,781.79,774.29,785.3,758.9,1070.35,1166.85,1163,1174.7,1102.35,843.4,832.55,793.3
18,773.85,757.4,739.3,729.4,646.15,701.95,694.1,800.7,802.34,803.71,808.74,820.64,870.44,892.74,887.84,864.74,830.54,782.39,771.24,722.69,776.59,779.1,772.2,813.55,880.15,908.7,912.9,870.05,864.6,847.55,784.2
19,773.05,761.7,735.4,742.2,748.55,743.65,750.2,775.3,799.14,745.84,797.44,813.04,893.14,906.04,907.04,928.34,870.34,856.29,871.14,889.79,818.29,817,831.1,815.75,892.45,1190.9,1202.5,1178.25,887.7,878.75,698
20,786.65,739.9,741.2,723.7,753.05,752.55,760.1,790,821.54,826.84,826.44,855.04,880.64,833.04,869.74,865.74,827.04,842.99,827.64,758.69,817.99,780.3,927.8,1005.45,1156.05,1163.35,1162.6,1129.25,860.2,768.05,795.7
21,764.45,743,719.9,699.9,703.65,690.35,737.7,761.9,732.44,741.54,817.74,833.64,838.94,861.94,823.24,849.04,883.74,820.79,782.14,735.79,763.89,888.9,834.6,837.45,1160.75,1205.1,1219.5,1137.25,831.3,791.65,778
22,746.45,722.1,703.2,223.5,720.35,752.45,767.9,768,832.34,842.54,819.84,827.34,813.14,779.94,846.44,850.04,833.94,850.89,846.04,861.29,836.09,838.3,864.6,944.35,1212.65,1233.5,1067.5,995.25,876,813.85,803.4
23,790.45,811.8,762.8,766.8,790.25,777.25,790.2,846.8,857.64,845.94,870.94,886.84,885.54,890.84,885.24,883.94,897.74,898.19,852.94,870.19,794.69,819.2,830.5,839.55,1212.75,1227.4,1247.9,1120.25,906,894.25,863.8
24,812.35,800.4,807.8,809,800.75,815.15,803,803.2,828.74,826.64,852.04,845.74,855.24,878.24,859.94,857.44,850.94,834.39,822.74,828.19,801.69,804.1,817.9,934.65,1190.87,1209.1,1210.4,1214.25,874.4,887.55,878.1
25,715.25,798.6,777.8,762,761.95,752.55,742.6,769.4,805.94,816.24,840.54,824.14,828.64,845.84,866.74,833.94,828.44,859.09,851.14,832.19,830.19,809.9,801.7,967.45,1221.85,1185.9,1170.9,960.35,796.4,783.15,755.4
26,734.25,690.7,672.6,684.6,635.15,649.15,839.9,881.1,919.44,897.74,884.74,893.24,873.34,887.74,867.54,838.54,836.64,863.19,853.94,797.29,815.39,862,925,1064.45,1111.55,1141.5,1140.9,1041.05,804.1,802.65,786
27,765.55,755.1,747.7,728.9,729.65,746.15,730.7,766.3,806.74,821.54,812.94,826.74,773.14,764.64,724.04,743.04,799.24,836.99,796.34,793.09,793.59,767.4,793.5,970.65,1182.75,1124.4,1133.9,1113.25,797.2,759.25,766.7
28,718.85,720.6,718.7,704.1,703.15,706.85,788.4,800.3,817.04,835.64,853.04,827.14,825.64,820.14,795.64,791.34,812.84,833.99,834.04,806.59,790.59,792.4,816.8,842.75,1150.85,1234.1,1219.4,1159.95,867.4,879.75,820.3
29,819.85,775.9,767.5,768.1,769.35,764.35,790.1,808.5,835.64,842.74,832.94,849.54,845.74,878.74,884.04,894.84,884.04,855.69,883.04,861.39,845.99,840.5,840.5,865.85,908.45,1218.5,1195.3,1180.15,890.7,856.75,873.8
30,857.85,837,815.2,799.3,813.15,798.25,803.2,811.8,869.04,886.84,885.64,882.24,905.74,936.54,937.84,874.34,868.74,857.99,880.94,881.49,898.79,910.8,902.1,1039.35,1225.25,1221.6,1238.2,1085.55,889.4,850.95,864.6
31,864.95,857.13,819.76,810.39,812.16,799.25,826.6,820.2,817.24,828.54,813.24,864.14,869.94,847.14,880.54,851.14,834.74,838.89,823.44,818.99,815.69,814,781.3,1145.45,1209.95,1257.4,1254.4,1195.95,927.1,837.55,852.6
