Day,1:00,2:00,3:00,4:00,5:00,5:30,6:00,6:30,7:00,7:30,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,22:00,23:00,0:00
1,873,861.9,825.2,786.3,811.6,832.9,795.4,793,786,827.9,831.2,831.2,163.1,808.5,797.1,789.8,700.2,808.1,805.7,782,780.3,860.5,928.7,1274.9,1261.6,1229.9,1223,1196.2,808.3,737.6,692.5
2,529.9,588.1,580.2,573.6,583.2,596.8,611.2,617.9,707,739.5,763.6,775,812.9,821.6,815.1,834.4,824,852.7,863.1,871,877.4,890,916.4,997.2,1259.2,1184.3,1070,1017,894.5,902.7,894
3,838.2,836.8,821.8,813.1,825.9,835.6,826.4,837.6,863.4,891.2,892,899.5,871.9,889.5,901.4,908.2,913.6,940.8,947,952,966.8,969.4,985.5,1313.6,1290.5,1217.1,1202.5,1121.1,892.5,875.8,827.2
4,812.7,769.8,774.6,754.4,751.8,777.3,797.9,810.1,843.1,847.5,830.6,845.3,903.2,886.4,891.4,912.8,914.5,915.2,893,927.8,933.6,945.9,1275.6,982.5,1287.3,1269.1,1222.8,1092.3,922.6,886.1,858.6
5,810.9,809.9,775.7,723,772.6,782.7,817,826.5,845.7,862.4,897.4,862.3,881.5,879.7,875,875.8,874.4,877.3,885.3,875.8,873.7,914.8,1268.8,1305.2,1285.2,1214.2,1057.3,890.4,937.1,853.1,831.6
6,813.4,787.1,781.5,742.2,757.8,784.6,793.6,814.3,823.3,854.6,898.5,883.5,895.3,898.3,864.6,920,937.5,913.9,940.5,946.3,886.3,900.7,1307.2,1336.3,1320.1,1228.6,1100.7,949.2,919.4,925.8,899.6
7,813.2,797.2,793.2,768.2,802.9,827.5,801.4,816.3,838.2,879.4,892.7,912.6,883,868.3,1317.6,876.5,885.1,864,841.6,845.4,854,911.8,944.9,1033,1331,1275.5,1148.9,980,921,883.7,860.6
8,826.9,841.1,815.1,801.9,829.3,842.6,842.3,857.1,885,938.7,921.6,927.7,905.6,948.7,969,954.8,941,936.7,934,924.2,932.3,919.7,1004.9,1028.2,1340.7,1282.6,1251.7,1180.3,920.5,902.1,884
9,874,858.9,833.2,850.2,877.7,863,869.7,878.7,875.2,939.5,965.2,917.2,953.7,955.9,975.5,897.4,951,932.4,931,931.5,941.3,960.5,1295.6,1342.8,1309.2,1308.2,1308.4,1144,932.7,909.5,918.6
10,866.9,871.4,837.1,827,859.3,885.5,859.7,879.9,891.2,905,958.8,944.3,990.6,960.3,939.1,936.7,939.6,927.7,905.3,924.6,895.8,930.2,1303.3,1346.8,1318.7,1241.3,1081.1,1030.1,916,869.8,869.7
11,839.7,845,831.6,831.9,845.5,843.4,831.2,821.5,826.8,844.4,866.9,899.1,910.2,893.1,897.2,857.3,933.1,863.4,836.4,843.4,870,903.1,1247,1304.3,1349.3,1325.4,1297.5,1076.3,1008.7,937.7,912.4
12,877.4,841.6,809.8,801.5,825.8,820.3,806.6,766.4,777.2,779.7,806.4,829.4,836,761.6,829.7,850.5,828.1,813,750.8,757.1,764.4,802.1,1234.2,1269.7,1268,1200.8,1071.5,1030.6,884.9,838.2,804.3
13,748.1,726.6,709.1,705.5,737.1,755.8,738.1,697.1,700.5,697.5,705.7,710.9,707.9,717,709.3,710.4,673.8,674.5,678.6,702,708.9,783.7,1203.8,1263.3,1239.2,1170.6,921.6,900.1,840.1,783.8,731
14,748.1,691.2,691.4,694.1,707.9,720.4,700.8,677.8,693.6,683.3,691.9,685.4,687.4,693.8,635,627.9,638.6,627.7,621.3,603.5,633,725.4,869.9,1203.8,1203.4,1122.5,869.7,867.3,818.3,752.2,707.1
15,682.4,676.1,651,633.2,648.5,649.9,657.5,647.2,618,648.3,659.9,654.6,682.5,709.6,707.6,707.1,715.6,712.9,717.8,693.4,760.5,790.3,1224.6,1242.3,1195.6,1171.4,974.7,927,816.5,782.1,751
16,715.4,671.9,648.5,651.7,647.2,622,669.7,677.7,681,697.7,701.2,712.5,728.5,733.4,744.2,732.7,726.9,28,637.6,753.9,747.2,813.2,918.4,949.1,941.5,896,884.4,884.3,824.1,794.7,750.3
17,708.4,703.2,704.5,675.5,697,716.7,696.2,695.5,720.1,775.6,788.6,792.9,812.7,811.1,836.6,832,820.2,833,817.9,811,822.1,861.9,947.9,973.8,949.8,1221.7,1203.7,892.3,843,831.3,808.1
18,791,776,763.2,749.3,758.4,772.9,770.9,784.7,803.2,832.5,853,861.3,891.3,896,896.9,903.5,870.2,887.9,879,865.9,895.8,924.7,933.9,1290.6,1269.4,935.5,933.8,908,867.7,848.5,859.4
19,817.8,790.6,782.2,773,793.2,821.1,810.8,801.4,823,847.9,870.2,889,890.7,896.9,877.2,894.5,881.8,870.8,850.7,884.6,875.4,948.6,1293.1,1312.1,1302.7,1259,1235.1,1197.6,920.5,900.2,889.7
20,871.4,848.2,839.8,827.1,835,854.1,829.1,823.7,870.9,927.8,946,924.7,951,979.7,999.8,988.6,973.6,991.9,955.6,942.5,944.5,989.2,1322.2,1330.1,1330.1,1251.2,1241.7,1071,933.1,906.7,904.4
21,870.7,874.4,859.8,845.5,849.6,873.2,837.3,843.3,869.5,874,899.3,913.7,922,917.9,896.6,907.6,895.8,881,896.4,922.2,941.8,983.8,1288.8,989,982.7,1236.9,1223.9,911.5,900.4,879.4,856.8
22,831.9,820.1,820.1,793.4,831,857,864.8,864.9,894.4,918.4,895.1,903.3,924.7,948.1,954.3,960.8,951.6,946,965.3,933.6,964.1,981.6,1036.1,1013.1,999.8,995.5,936.1,963.4,957.1,913.7,890.2
23,870.8,851.5,839.8,821.2,826.2,875.6,877.9,904.2,895.2,901.7,898.1,919,923.1,940.8,928.1,962.6,902.5,905.4,930,912.4,949.6,959.3,985.3,1024.8,1006.8,951.1,975.3,955.5,940.8,929,909.7
24,887.1,892.2,894,867.4,881.7,887.6,886.2,901.2,944.9,974.4,962.4,985.3,884.7,940.5,942.8,947.4,917.8,945.4,951.1,935.3,975.3,955.9,1287.4,1310.9,1261.7,1259.9,1134.2,928,920,901.1,884.4
25,856.7,846.6,803.2,790.7,830.4,806.8,846.4,865.6,889.9,870.7,914.8,905.9,932.5,947.5,886.5,911.5,625,883.1,886.2,888.9,955.9,959.7,1319.4,1314.7,1310.5,1106.8,1054.7,960,928,921.7,906.8
26,859.3,850.1,805.3,821.7,846.2,852.9,901.6,886.9,945.3,961,964.3,979.2,979.5,982.5,977.4,981.4,958.2,980.5,925.1,965.6,955.4,1318.9,1325.1,1215.8,1176.4,1007.1,956.8,918.4,936.4,938.3,923.9
27,878.1,842.6,851.4,838.9,852.6,880.7,890.2,913.5,943.7,978.4,950.4,946.8,968.2,981.8,973.9,956.7,928.6,945.3,809.7,943.5,972,974.8,1324,1319.1,1285.6,1226.7,1222.8,1033.7,906.5,894.7,873.7
28,810.1,846,810.7,804.8,831.3,864.1,845.3,864.5,901.1,917.9,938.8,906.1,885.1,861.9,771.2,862.2,856.3,877.9,877.2,872.5,928.6,869.5,1314.7,1308.2,1260.8,1235.7,1024.9,942.5,901.4,856.9,849.5
