Day,1:00,2:00,3:00,4:00,5:00,5:30,6:00,6:30,7:00,7:30,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,22:00,23:00,0:00
1,717.49,707.64,706.44,737.34,745.09,774.99,765.14,802.94,796.94,807.84,767.54,735.64,736.24,736.44,724.44,698.64,690.54,670.24,672.74,659.04,635.84,626.84,709.64,1076.24,1129.14,1108.64,1089.34,1088.74,773.74,725.29,682.14
2,651.39,636.34,615.34,623.74,656.19,683.39,691.94,789.94,818.94,840.74,876.74,880.74,863.34,878.84,889.84,883.34,885.64,904.54,890.94,837.94,797.14,906.34,1013.04,1203.24,1190.44,1183.64,1166.54,1137.64,835.04,802.89,772.94
3,754.89,744.44,729.04,724.74,769.39,786.29,841.34,868.94,894.24,909.14,918.54,933.04,848.64,897.84,911.04,908.14,1000.44,903.94,877.84,854.94,943.14,945.64,1014.14,1143.84,928.44,1166.84,1142.24,1103.64,824.44,828.49,803.94
4,751.79,746.94,723.24,732.94,727.89,743.39,768.04,809.24,818.94,875.34,901.84,904.24,914.44,893.74,902.14,822.94,888.64,903.84,852.14,784.14,893.84,123.74,917.34,1118.38,1156.34,229.74,123.74,913.14,826.94,771.89,767.84
5,722.89,596.24,595.24,595.24,635.19,659.69,750.14,773.34,782.84,801.74,748.94,728.74,778.04,722.84,780.74,123.74,866.44,383.54,862.14,702.04,816.04,892.94,938.94,1172.54,1200.14,1185.84,1133.74,979.64,810.44,797.39,764.24
6,736.09,709.14,730.54,707.44,732.79,755.69,748.54,766.14,815.84,853.04,871.04,872.74,858.54,897.44,897.34,879.64,912.64,891.54,920.14,854.94,909.54,1000.14,1021.34,1145.24,1166.54,1113.14,1112.54,1086.03,657.54,767.19,658.37
7,711.69,716.84,717.84,664.78,692.59,738.69,766.44,852.44,892.24,920.24,905.14,924.54,927.64,841.94,864.44,881.34,913.64,914.5,900.2,874.04,936.94,858.34,1024.94,1154.94,1157.74,1123.34,1135.54,1120.34,844.14,122.69,754.74
8,731.09,727.64,735.24,738.84,770.49,802.79,808.14,839.84,851.24,870.24,874.04,862.84,843.64,838.34,844.94,832.64,844.94,837.34,821.1,787.94,792.94,731.64,990.04,1172.94,943.84,1156.54,1142.34,1131.24,856.94,841.99,815.04
9,784.39,760.24,728.64,737.74,758.79,783.69,801.64,831.74,880.14,940.64,950.34,946.33,895.37,945.24,937.54,922.14,907.54,941.54,915.39,904.94,846.54,1055.24,1129.7,1186.64,1245.7,1220.34,1212.94,1117.94,923.64,856.59,845.54
10,798.89,780.24,779.24,781.74,824.39,824.39,179.74,827.74,834.19,910.54,935.94,970.24,961.04,936.74,934.45,935.14,899.34,915.34,933.24,910.74,858.04,832.04,1068.34,1174.04,1254.34,1217.44,1195.44,1027.04,1045.63,860.69,854.34
11,804.59,788.74,787.04,796.24,787.79,819.99,814.34,902.94,949.54,979.54,974.94,947.64,917.04,947.34,993.14,952.14,958.54,926.44,955.44,922.14,910.84,795.54,1095.84,1239.64,1271.34,1235.04,1220.04,1179.94,1113.14,855.38,858.24
12,831.69,809.34,795.83,778.34,792.79,847.99,880.04,930.74,978.84,1023.14,1007.24,959.34,929.14,919.74,936.44,957.14,947.94,941.14,942.34,963.04,1067.44,1112.74,1160.24,1253.84,990.54,1218.64,1188.14,1168.64,1068.64,846.39,834.94
13,828.19,783.84,776.24,788.54,828.19,845.29,899.74,957.74,986.34,1034.74,1023.54,995.04,915.84,928.04,847.04,882.54,912.84,918.24,935.94,889.34,994.64,1031.14,1078.84,1135.44,1148.94,1173.44,1163.74,1097.14,828.24,813.99,793.64
14,777.79,755.54,744.94,751.44,793.29,826.69,852.54,903.54,938.14,956.24,961.94,936.53,965.04,907.94,888.84,911.14,915.74,837.14,900.44,903.54,866.54,951.24,1039.98,1141.44,1196.54,1184.94,1164.44,1106.64,882.24,837.89,816.84
15,781.29,749.34,750.44,780.84,793.49,833.29,817.54,808.44,841.24,853.44,912.54,900.54,811.74,805.34,750.44,734.34,781.74,750.14,751.64,772.04,729.34,918.84,1006.04,853.24,1166.34,1163.14,1144.14,1134.94,763.14,753.99,737.34
16,690.29,662.64,627.94,636.44,121.89,551.89,687.34,726.24,755.84,693.74,868.74,845.24,822.84,863.44,864.64,848.14,863.44,877.44,837.34,800.44,839.94,945.24,1012.04,1089.84,1110.74,1083.34,1143.24,1078.64,713.74,692.89,587.34
