Day,1:00,2:00,3:00,4:00,5:00,5:30,6:00,6:30,7:00,7:30,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,22:00,23:00,0:00
1,835.3,841.2,840,821.3,825.4,823,815.9,820.1,817,852.7,869.7,857,884.8,861,843.5,881.4,896.5,901.3,862.4,893.9,884.7,879,856.6,869.9,1240.7,1211.6,1159.1,1106.2,904.1,884.4,881.6
2,829.2,282.7,756.8,669.9,824.5,820.5,837.4,842.4,863.5,923.5,895,893.3,908.4,925,951.2,953.3,923.9,905.5,919.4,889.9,910.9,909.2,891.1,875.9,1173.9,1205.3,1248.9,1161.6,923.9,916.4,904
3,824.6,845.4,821.8,808.7,807.7,820.8,823.7,864.3,888.9,893.3,903.1,899.8,923,921.1,893.2,894.6,885,918.4,908.9,869.6,852,848.1,859.6,849.6,1220,1236.2,1207.9,1110.1,931.5,813.2,833.4
4,804.2,796.6,813.8,820.7,837.7,821.9,814.4,868.7,904.3,928.9,927.8,904.1,885.2,916.4,910.5,867.2,870.6,890.1,871,804.8,804.3,801.8,932.2,1101.9,1188.7,1156.4,1179.5,1033.2,841.2,832.6,830.2
5,857.7,838.7,837.7,840.2,853.8,877.8,874.9,886.6,901.8,928.1,917.9,924.5,915.4,944.4,940.7,930.2,921.2,923.6,933.3,930.1,909.4,897.3,916,937.4,1296.4,1268.1,1152.1,1029.9,909.1,925.7,901.1
6,872.9,852.5,841.8,858,866.2,872.5,881.3,883.3,924.5,911.8,923.5,920.4,928.3,941.4,903.6,928,916.2,927.8,909.1,885.8,872.3,888.5,1137.4,1240.3,1282.3,1252.1,1247.4,1140.9,921.2,900.4,876.8
7,843.9,832.2,831.9,847.2,831.1,836.2,837.5,860.4,878,872.2,904,905.7,893.9,888.8,877.1,884.2,942.4,955.5,953.4,879.8,879.4,887.6,1053.6,1264.5,1278,1254.5,1234.6,1163.2,966.2,922,899.6
8,887.8,878.8,871.9,861.9,876.5,859.9,861,877.1,909,874.1,932.9,938.4,946.3,947.4,691.7,886,846.7,918.1,887.9,899.1,895.8,885.3,877.7,926.1,1288.1,1243.2,1238.8,1222.4,983.1,866.7,857.5
9,855,850.2,832,846.1,861.8,869.6,879.5,890.7,901.9,907.2,892.4,918.4,915.6,965.4,944,950.2,919.1,936.9,929.1,924.4,898.9,886.9,913.2,1164.7,1334.1,1286.9,1225.5,1180.4,995.4,934.3,902.8
10,865.6,884,840,817.6,852.6,895.6,868.5,810.6,832,832,884.7,918.3,896.1,892.8,884.1,903.1,892.4,866.5,876.9,886.9,854,846.7,841.3,958.2,997.2,1263.9,1247.1,1108.3,950.6,917.5,889.9
11,846.7,831.5,809.5,817.2,834.7,874,894.6,914.4,926.6,967.4,940.5,913.9,877.6,873.3,869.7,857.7,842.7,791.7,819.7,828.4,840.3,842.1,846.3,1128.1,1256.7,1236.3,1184.8,1023.8,897.1,849.5,817.9
12,835.7,833.1,816.6,805.4,829,837.8,850.1,879.5,889.5,927.7,929.9,895.2,907.2,912.2,903.1,904.1,888,875.2,878.8,887.5,884.5,929.7,966.2,1123.6,1286.1,1321.2,1226.9,1169.9,960.6,903.6,930
13,861.5,833.8,796.8,806.8,810.4,823.5,824.6,851.6,878,859.6,911,934.8,919.9,916.7,916.8,924.2,923.5,900.9,916.6,911,939.2,929.4,963.4,988.3,1335.6,1311.4,1264.4,1222.2,1144.2,931.8,923.6
14,798.8,889.9,896.7,888.1,903,902.3,901.5,919.8,960.8,960.8,924.2,930.6,926,933,942.9,941.7,935,939.4,938.7,942,940.6,929.3,949.8,980.7,1225.1,1299.8,960.9,957.5,538.2,921.8,907.9
15,266.7,806,793,808,807.6,836.6,858.7,856.2,870.7,906.9,892,886.4,895.8,850.5,874.1,953.1,935.8,952.2,945.5,912.1,914.3,932.2,949.3,969.2,1010.8,1287,1218.2,885.7,860.5,908.9,887
