Day,1:00,2:00,3:00,4:00,5:00,5:30,6:00,6:30,7:00,7:30,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,22:00,23:00,0:00
1,678.6,656.1,662.9,666.5,695,729.5,768.6,874.7,929.6,995.9,968.8,881.6,853.1,851.5,830.9,796.5,831.2,836.2,843.9,818.7,802.4,766.9,1013.7,1200.3,1210.7,1149.8,1124.5,1025.1,864.4,685.2,647.5
2,588.2,575.5,531.8,547.8,575.8,784.2,650.7,742.9,808.3,814.6,809,824.7,863,835.1,828.6,801.4,796.6,823,803.9,775.1,893.1,1021.8,1124.9,1229.4,1210.5,1185.5,1125.4,839.8,769.6,744.1,718.7
3,710.9,670,656.8,659.2,680.7,730.2,798.4,860.8,885,932.9,922.4,894.4,854,798.2,791.8,745.3,722.7,706.6,721.4,736.9,894.9,903.1,1071.1,1177.1,1233.1,1140.3,1105.3,970.3,813,734.8,681.9
4,654.6,639.4,635.4,614.9,659.4,720.7,751,876.7,943.7,970.3,966.4,912.6,905.7,869,854.9,822.9,856.6,827.7,836.7,849.4,770.8,738.3,1152.2,1230.5,1214.5,1118.4,1122,1047.4,873.6,762.7,707.8
5,694.1,663.7,667.5,655,704.6,771.6,864.6,915.2,966.8,1011.7,997,952.9,910.2,881.7,841.4,869.4,876.5,894.9,914.9,903.5,898.5,834.9,1124.4,1149.2,1189.7,1146.8,1147.4,848.1,747.9,862,733.1
6,670,657.5,652.3,664.6,676.6,739.9,795.9,918,978.5,979.6,970.6,860.2,864.3,873.9,865.4,852.6,863.8,864.4,876.3,853.5,868.7,965.1,1131.9,1221.8,1198.8,1135.1,1134.6,1097.2,840.8,727.1,704.7
7,681.1,643.5,650,664.7,693.8,781.4,827,908.6,951.2,981.1,971,917.4,873.9,837.6,877.1,875.1,890.8,894.6,915.1,821.7,802.9,947.3,1137.9,1229,1235.8,1177.8,1154.4,1124.2,867.1,753.1,704
8,665.5,651.7,652.3,643.8,686.2,717.4,806.9,847.9,912.4,985.1,954.6,949.5,873.6,885.8,842.1,850.7,873.5,881.3,901.4,837.2,904.6,996.6,1108.1,1225,1219.5,1183.7,1150.5,1125.2,838.2,723.1,693.3
9,685.8,680.8,675.4,683.1,726.5,148.8,212,878.7,924.4,916.9,928.5,915.9,865.9,891.4,891,121,788.8,103.5,825.3,852.6,802.8,890.4,1209.4,1246.7,1213.9,1177.3,1186.9,1152,849.8,759.8,734.6
10,705.6,687.1,665.3,665.3,719.9,740.9,767,811.1,1002,989.2,982,965.9,866.5,804.4,766.1,740.8,730.8,725.9,766.2,736.3,713.2,825.3,1001.8,1189.4,1178.6,1153.6,1126.3,1074.1,766.4,721.9,706.1
11,680.1,653.8,646.8,651.5,667,729.4,794.1,861.2,865.5,882.6,888.8,886.2,858.7,864.9,840.8,824.4,835.7,801.9,807.1,793.7,873,940.2,1064.6,1187.2,1177.2,1158.2,1137,1036.1,825.2,759.6,680.7
12,699.5,665.9,669.8,676.8,752.3,776.1,825.1,860.5,917.1,871.7,917.4,876.2,900.8,872.8,865.2,881.1,845.2,858.1,872.4,836.9,738.3,1017.7,1056.6,1167.5,1177.7,1153.5,1133.3,1089.4,793.3,760.5,732.5
13,704.6,675.1,686.3,684.3,737.9,768.5,823.4,890.2,956.6,996,970.5,793.5,906.5,842.5,858.9,861.1,856.6,883.9,884.9,859,820,991.3,1069.7,1223.1,1223.7,1186.3,1158.2,1126.6,843,770.1,739.6
