Day,1:00,2:00,3:00,4:00,5:00,5:30,6:00,6:30,7:00,7:30,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,22:00,23:00,0:00
1,554.2,538.1,533.8,525.6,573,592.6,615.3,728.6,775.5,840.8,866.5,890.4,834.2,810.7,730.5,713.7,717,729.8,730.4,682.7,793.8,992,1184.6,1189.5,1143,1113.6,1044.7,865.8,777.4,715.1,671.5
2,603.7,583.3,586.5,594.9,633.7,659.7,754.4,836,883,966.6,968.6,903.7,866.7,830.8,801.6,744,773.2,776.2,791.7,754,696.6,988.8,1242.4,1214,1179,1137.4,1132.5,868.2,764.8,681.7,622.7
3,615.1,615,610.1,615.4,653.7,688.6,754.5,848.3,932.6,961.5,974.7,895.4,871.8,880.4,876.3,790.1,797,786.8,788.6,721.1,912.2,1071.7,1209.6,1249.7,1192.2,1166,1089.8,872.5,743.8,678,643.1
4,621.6,611,597.7,603.9,660.3,687.7,786.6,845,909.1,970.4,1009.6,989,883.1,866.2,817.2,838.1,803.2,774.6,808.7,886,961.7,1074.2,1212.6,1213.7,1041.2,1031.8,974.5,870.9,742.1,657.4,676
5,608.3,609.7,608.7,626.5,637.6,693.8,754.4,814.2,873.6,925,924.1,918.3,857.4,809.6,743.8,711,713.1,704.1,719.9,721.2,950.9,1015.5,1165.6,1175.7,1141.2,1105.8,1103.4,739.8,681.7,639.9,623.9
6,594.2,574.5,586.8,579.4,628.3,740.8,792.3,833,877.2,968.7,982.6,859.9,853,812,796,789.6,781.8,796.8,93.5,698.6,712.6,1083.9,1175.7,1194.7,1129.3,1116.7,1118.5,861.2,728.5,681.1,655.8
7,612.7,604,615,604.4,634.6,705.8,766.3,835,875.2,906.1,966.6,898.5,904.9,854.2,807.5,782.7,777.4,751.3,787.4,724.5,728.1,982.3,1183.4,1212.7,1165.9,1126.4,1119.8,853.4,735,659.2,647.7
8,627.9,601.7,611.8,617,652.8,706.9,752.3,838.4,903.5,965.5,978.8,977.2,898.5,861.6,824.6,821.1,820.5,819.8,816.2,754.9,735.2,1033.1,1160.5,1169.1,1146.9,1121,935,807.4,728.5,655,634.3
9,617.3,615.5,610.2,605,628.8,678,761.5,830.6,887.8,978.7,982.3,901.6,864.6,840.3,767.4,776.9,820.3,807.6,821.7,806.4,1111.1,1039.9,1179.6,1166.5,1116.8,1130.7,1020.3,795.4,725.9,671,658.2
10,625.9,599.2,598.2,619.3,667.9,738,782.5,834,865.5,927.5,905.4,834.9,818.3,832.7,802.9,799.3,784.8,755.6,847.3,758.2,786.8,988.1,1126.6,1168.6,1151,1123.5,1254.4,821.9,767.2,675,646.9
11,614.9,608,605,606.5,641.5,702.9,748.9,858.3,918.7,971.6,995.1,883.3,869.6,850.4,843,817.2,800.6,789.8,791.2,791.3,863,1023.4,1170.6,1202.3,1157,1068.2,1011.8,993.9,736.8,668.6,650.8
12,611.3,612.6,605.3,621.5,652.9,711.1,730.9,818.6,850,893.2,903,882,829.9,776.6,737.8,720.1,695.3,683.5,693.3,657.8,834.1,958.4,1147.2,1159.9,1147.7,1114.8,933.2,800.7,692.3,649.5,624.7
13,596.4,590.1,592,588,629.2,684,361.7,786,833.8,911.6,950.3,858.3,801.3,838.2,806.9,760.4,764.6,782.9,823.1,744.7,754.1,1078.3,1177.6,1179.1,1146,1110.8,953.4,813.5,729.5,663.3,650
14,608.8,617.8,612.6,602.5,630.2,667.9,758.4,811.9,871.7,936.3,885.7,876.1,848.7,829.7,800.4,811.7,817,813,796.4,807.4,828.4,1044,1124.5,1170.9,1121.8,1089,1089.6,1008.7,714.7,667,642.2
15,608.8,610.1,621.1,613.1,673.6,686.9,802.8,879.9,909.3,975.5,961.8,910.5,831.5,815.7,751.1,760.9,761.8,773.7,738.8,757.3,728.9,1053,849,942.7,1159.8,1100.3,1003.6,804,705,645.9,630.9
16,593.9,585.1,587.9,584.3,615.2,676.4,723.1,773.9,886,944.2,947.7,872.1,852.8,806.3,804.5,779.5,784.6,765.3,771.1,735.3,839.6,1047.1,1125.4,1172,1141.2,1105.1,975.3,821.9,709,642.8,616.4
17,585.6,588.4,575.8,572.7,584.1,627.4,693.8,764.9,771.3,832,839.7,806.6,729.9,668.8,642.9,639.7,625.6,635.3,632.5,623.1,754.7,829.3,877.8,1040,986,988.3,774.1,742.2,637.2,574,534.4
