Day,1:00,2:00,3:00,4:00,5:00,5:30,6:00,6:30,7:00,7:30,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,22:00,23:00,0:00
1,654.89,654.84,635.04,650.84,683.29,694.49,714.54,756.84,777.94,801.64,895.64,884.54,879.64,877.04,861.54,900.04,882.24,891.54,929.24,860.44,870.54,883.54,870.24,914.34,1052.64,1023.44,990.44,1006.14,901.04,847.69,816.04
2,757.79,726.14,688.84,700.94,716.69,803.73,762.64,809.14,845.34,866.74,848.24,787.06,852.74,844.64,857.04,894.64,880.24,887.94,878.24,907.04,925.74,899.34,913.64,968.84,1067.74,1072.24,1082.14,1083.44,970.84,907.39,863.64
3,799.99,781.24,746.04,723.04,729.89,732.79,758.64,799.84,831.74,888.74,884.54,640.34,862.84,898.44,891.04,901.84,906.24,913.54,903.54,893.64,909.24,886.84,904.54,946.44,1094.64,1086.14,1047.94,1007.64,931.04,853.59,824.74
4,814.59,806.00,772.94,759.94,788.49,820.79,844.64,886.44,918.24,922.54,957.44,939.94,955.54,946.64,932.34,962.84,967.24,967.94,902.44,922.64,903.84,860.54,914.94,995.84,1111.14,1113.94,1100.94,1051.84,979.64,915.36,887.04
5,822.29,791.34,767.84,765.94,733.49,762.29,771.94,782.04,808.94,843.04,833.04,827.04,836.04,834.24,818.34,823.84,821.74,840.64,849.24,808.94,811.44,801.44,833.94,920.94,1014.14,967.74,934.44,959.74,872.54,859.49,818.94
6,766.09,700.54,679.54,679.24,708.09,726.29,722.44,784.44,820.64,830.54,901.64,908.14,943.04,970.44,966.44,960.94,958.94,991.64,989.64,937.44,931.94,924.34,931.14,1010.54,1068.74,1043.97,982.70,1050.24,971.74,924.79,861.24
7,836.09,806.64,799.64,786.04,815.39,834.39,850.84,879.94,910.24,941.44,925.54,952.04,942.04,977.84,944.74,984.74,953.74,958.64,944.14,934.04,936.24,935.64,929.14,922.54,1099.34,1086.44,1081.04,1029.44,965.54,911.49,883.74
8,859.89,845.34,818.84,819.44,837.09,842.79,878.74,883.14,919.14,934.94,923.14,916.24,941.74,986.04,977.24,995.44,1013.44,1002.14,976.84,960.94,977.24,977.34,976.44,987.44,1121.44,1109.34,1107.14,1088.24,1007.44,948.99,923.84
9,896.79,898.54,863.54,859.54,884.09,883.29,872.44,889.14,917.14,233.34,969.04,932.54,909.54,953.24,994.04,969.84,968.04,986.44,985.44,968.44,954.54,944.14,954.34,980.14,1141.34,1125.14,1115.04,1100.14,1000.04,947.49,869.54
10,880.39,845.44,844.44,799.34,828.09,788.39,809.64,772.74,821.24,853.84,888.84,913.24,884.24,928.44,952.44,901.44,943.94,873.64,935.14,946.94,919.74,911.84,904.84,1029.54,1081.14,1056.74,1061.34,1031.94,978.94,905.89,911.44
11,855.09,827.74,813.04,815.24,810.85,828.79,866.84,883.54,901.64,887.64,918.74,928.74,942.04,955.34,948.24,1002.84,976.34,992.44,988.64,963.54,954.94,941.74,973.54,1000.54,1105.24,1082.14,1098.04,1085.64,1023.24,963.69,911.14
12,866.29,832.34,818.04,763.34,793.69,795.89,804.54,816.79,835.24,858.94,932.84,939.34,943.94,929.64,924.64,909.04,920.94,934.34,856.24,884.94,870.44,864.84,922.84,994.14,1057.34,1079.74,1085.04,1071.84,1030.64,970.69,917.94
13,880.69,884.94,878.14,853.04,852.19,848.59,874.94,912.04,953.64,980.04,998.64,997.64,985.24,1008.64,1020.54,1016.14,1004.84,1011.64,1023.99,1004.34,997.94,971.24,980.28,1055.74,904.28,1040.28,1073.78,1058.38,1026.78,1010.43,888.28
