Day,1:00,2:00,3:00,4:00,5:00,5:30,6:00,6:30,7:00,7:30,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,22:00,23:00,0:00
1,827.3,832.9,821.5,816.9,820.8,880.9,870.1,869.7,884.8,861.4,937.6,950.4,965.6,879.4,887.4,852.7,846,853.2,899.8,880.1,930.8,957.7,1365.8,1339.3,1350.4,1299.8,1172.6,1061.1,921.2,848.3,844.2
2,815.1,783.8,773.4,765.6,792.8,827.5,806.2,758.6,754.2,737.9,748.3,762.4,735.8,699,703.9,672.9,657.1,649,669.3,683,729.3,895.2,1067,1083.6,1078.4,1073.1,1059.2,1041.9,956.1,888.9,847.5
3,827.7,763.1,784.5,792.4,801.4,803.4,799.4,732.8,700.2,704.3,709.2,718.8,713.8,698,713.3,707.3,695.6,665.2,657.1,702.6,775.9,1376.2,1385,1386.5,1069.5,1039,1024.8,987.9,938.6,884.9,826.1
4,813.5,794.9,762.1,767.7,766.4,825.4,821.4,698,689.3,697.9,702.7,715.8,613.7,684.6,653.1,656.8,644.5,638.4,623.8,646.4,722.5,1218.4,1282,1296.9,988,934.6,909.9,887,796.8,756.8,737
5,725.5,688.8,620.6,633.3,644.4,656.1,671.7,648.4,645.4,675.6,706.4,718.1,715.3,719.5,722.1,729.3,709.6,705.7,732,755.6,815.6,967.8,1026.4,1007.6,987.6,933.5,887.9,856.7,797.7,785.6,761.7
6,730.9,732,700.7,697.7,686.6,737.1,750,763.4,790.4,823.5,826.3,740.8,783,781.2,810.3,809.5,810.8,813.2,820.3,843.4,884.6,1286.4,1388.1,1359.5,1282.2,1224.6,1128.2,853.8,775,747.9,726
7,728,717.8,696.7,688.6,723.5,766.6,778.5,783.1,814,852.5,843.3,805,813.2,827.8,827.7,839.2,853.2,831.7,881.2,883.8,906.8,928.6,1334.6,1324.6,1272,1197.8,1058.8,856.3,806.5,789,747.9
8,728,717.8,705.7,716.8,768.8,786.8,818.5,783.1,852.3,889.3,890.1,857.7,790.9,816,808.8,833.9,819.1,811.6,834.1,861.4,942.3,1004.3,1341.1,1335.8,1313.6,1225.3,891.3,875,762.7,734.6,722.6
9,689.8,676,674.3,648.5,689.8,733.8,231.1,677.7,753.1,805.8,768.9,781.4,767.7,758.2,752.2,754.9,732.1,699.2,716.6,759.7,826.3,951.1,1233.2,1222.2,1128.2,956.3,835.3,799.9,732.1,702.6,686
10,665.3,656,641.3,657.7,678.5,712.7,727.5,725.8,755,780.5,781.3,725.5,740.2,715.5,723.4,742.2,741.2,756.9,771.8,784.7,834,990.1,985.7,990.5,1206.9,1077,769.9,791.4,727.3,695.4,674.5
