Day,1:00,2:00,3:00,4:00,5:00,5:30,6:00,6:30,7:00,7:30,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,22:00,23:00,0:00
1,662.5,633.6,621.6,621.3,662.5,712,743.2,887.3,901.8,941.3,931.6,888.9,856.5,823.2,769.5,738.6,694,719.8,723.7,705.5,941.9,1164.9,1224.4,1221.7,1214.1,1004.5,907.7,864.2,775.2,704.7,646.1
2,612.5,610.9,606.3,580.1,634.4,670.4,701.1,790.3,834.9,914.8,957.2,911.5,910,870.9,874.8,852.9,795.7,754,780.3,1015.9,1019.7,1189.4,1240.7,1233.5,1247.4,1221.9,886.8,899.8,792,723.9,686.4
3,632.6,635.1,628,637.4,646.7,718.1,751.5,815.9,929.1,994.3,986.5,971.9,928.3,902.3,842.6,815.3,799.2,826.1,852.7,834.9,1071.5,1221.8,1296,1261.3,1210.4,1063.7,1058.2,895.5,758.2,695.9,621.6
4,647.9,609.3,602.8,614.1,625.7,728.3,776.3,790.5,854.7,899.1,883.8,888.4,934.9,888.4,874.4,881.7,864.2,856.3,886.2,794,1035.7,1228.3,1296.5,1279,1229.6,1045.4,1013.4,864.8,814.5,731.8,704.9
5,672,646.2,677.4,635.5,659.5,742.1,751.3,794.5,823.8,900.7,953.5,936.9,942.9,908.8,877.7,847.4,845.2,824,860.2,836.5,1034.8,113.5,113.5,1226.7,1168.7,1185,931.4,825,752,695.8,680.7
6,650.2,628.6,615.9,629.8,658.3,689.1,733.9,782.4,826.8,893,973,913.1,889.9,842.7,818.8,778.1,729.8,724.2,739.2,714.9,903.6,1146.9,1241.8,1231.2,1176.2,1070.8,880.3,862.8,736.1,678.1,648.5
7,606.5,602.5,599.7,605.2,653.9,693.8,751.7,855.5,919.8,988.4,997.6,1038.3,924.9,909.5,890.4,707.8,843,845.4,881.9,832.3,819.8,918.8,1010.9,1255.8,1229.7,1159.4,900.5,885.5,770.6,690.1,658.5
8,621.5,614.2,628.2,619.9,671.3,739.6,804.8,928.6,992.5,1021.8,1037.5,923.5,908,922.6,902.3,875.9,866.4,845.6,871.2,882.1,1190.4,191.4,1286.7,1262.6,1249.2,1146.1,1067.9,856.3,796.5,717.3,680.7
9,621,620.3,600.2,600.2,630.8,684,744,794,878.6,960.9,874.9,942.3,885.4,841.5,457.5,800.2,778.2,760.4,782.8,783,984.7,1183.2,1270.6,1238.9,1203.3,1175.4,906.8,882.4,793.9,674.6,642.8
10,640.1,577.2,591.3,614,654.5,678.9,724.6,855.7,890.6,959.4,894.2,849.3,814,832.7,836.1,843.4,867.3,869.3,870.6,849.7,1123.5,113.5,113.5,1275.1,1240.3,915.8,911.5,885.8,779.4,712.2,666.8
11,643.1,648.8,622.9,621.4,660.9,744.7,796,885.7,935.2,1021.4,1028.9,978.2,904.1,889.6,873.7,814,834.3,817.9,795.6,961.9,1076.3,1155.5,1250,1276,1250.7,1202.6,1182.5,895.3,776,708.3,674.5
12,649.8,646.2,650.1,647.2,670.5,705.2,793.4,875.5,976.4,1031.8,952.3,911,889.3,875.9,874.9,846.6,848,859,857.3,858.2,1041.5,1220.6,1294.5,1268.2,1264.8,1190,1023.5,890,767.5,727.2,681.1
13,645.8,627.5,603.8,620.8,657.7,707.9,754.6,788.2,836.9,898,975.4,969.9,909.6,855.8,867.3,802.8,769.9,760.8,756,763.4,829.1,1149.9,1225,1221,1209.5,1178.4,1106.5,882.1,752.4,693,677.4
