Day,1:00,2:00,3:00,4:00,5:00,5:30,6:00,6:30,7:00,7:30,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,22:00,23:00,0:00
1,641.3,635.6,636.3,631.3,714,760.7,821.3,849.6,897.6,932.6,924.5,860.5,851.7,868.4,815.7,643.3,789.8,790,824.7,823.2,918,980.2,971.8,1254.6,1203.6,1184.4,852.7,818.7,709.2,667.1,652.2
2,637.4,632.3,619.5,628.9,635.3,740.4,780.8,824.2,847.6,875.5,863.2,881.8,823.7,794.4,699.5,739.2,710.2,721.2,760.1,767.7,1080.8,1271.4,1246.5,1234.9,1230.7,1115.6,800,784,683.3,635.9,629.3
3,603.4,606.1,605.5,601.3,663.6,726.7,795,820.1,854.1,897,851.8,866.3,843.3,850.9,775.5,774.7,767.3,797.5,822.5,843.7,953.9,1279.8,1250.9,1230.7,1180.9,1110.8,850.9,773,705,668.4,643.7
4,647,620,606.3,628.5,692.3,742.6,796,847,878.8,928.8,957.3,873.4,852.8,842,805.4,791.6,784.2,818.1,827.1,865.4,1090.5,1252.4,1237.4,1218,1167.7,1096.9,908.4,776,698.5,631.1,636.6
5,615.4,615.3,617.1,635.1,659.3,722.5,796.9,824.9,891.7,914,905.1,835.3,814.5,790.4,793.8,785.2,790,835.4,857.3,894.5,904.8,1264.2,1247.9,1238.6,932,1128.7,815.2,781.7,659.7,656.4,636.4
6,630.2,594.9,613.1,606.3,677.3,740.1,790.4,818.7,878.9,920,914.7,870,833.5,825.1,810,796.8,786.9,812.4,840,875.4,1147.6,1226,1208.4,1203.7,1177.9,1123.6,975.1,798,739.7,682.5,670.4
7,640.9,625.6,630.2,627,697.3,756.2,781.4,788.2,897,923,927,851.5,815.2,813.7,793.3,782.9,765.2,780.2,828.3,854.8,1097.6,1233.7,1214.5,1202.4,1161.4,1088.6,1027.6,760.7,713.7,673.7,651.4
8,632.8,634.9,622,628,697.9,712.2,767.5,825.4,856.9,873.8,916.7,902.9,867.3,850.1,760.4,807.4,810.1,816.1,842.9,871.4,1186.3,1256.4,1230,1216,1162.7,1085.2,849.2,754.8,719.4,647.1,641.4
9,608.4,619.4,607.3,624.4,675.1,716.9,761.4,796.7,808.7,846,854.7,846.8,784.7,756.9,739,709.2,722.1,719.9,755.8,778.3,1109.9,1255.4,1232.9,1208.7,1125.5,1080.4,851,748.4,698,642.7,627.9
10,583.4,584.5,594.6,584.9,654.3,712.4,762.4,826.4,831.4,914,928.6,861.5,831.1,828.1,801.9,800.5,795.2,786.2,816,851,1184.9,1250.3,1252.2,1239.1,1146,1137.4,811.8,763.1,707.9,672.2,639.4
11,637.8,628.5,625.8,667.7,674.7,742.7,801.9,873.4,898.4,948,896.3,876.6,850.2,848.3,777.9,779.4,803.7,814.2,866.4,882.9,1141.1,1266.1,1250.4,1198.9,1185.2,1104,921.8,768.1,726.8,669.1,667.6
12,640.9,635.3,610.7,634.7,680.8,757.5,809.3,867.8,937.5,964.3,970.6,944.6,874.9,852.3,787.7,773.1,771.4,811.7,822,948.6,1202.3,1277.5,1230.9,1248.7,1187.7,1107.9,1048.8,771.1,716.1,681.2,659.6
13,619.1,632.2,640.2,662.7,688.4,762.7,842,870.4,864.7,949,970,933.1,895.9,858.7,827.7,845.1,842.7,842.7,860.8,900.3,1200,1283.3,1265.9,1234.1,1193.4,1127.6,1085.4,773.9,707.3,666.7,654.7
14,614.8,618.3,602.4,607,676.7,756.3,821.7,858.3,903.9,966.3,968.5,916.1,871,877.6,843.8,828.5,825.2,822.9,859.5,870.1,892.3,1268.5,1269.5,1243.2,1185.5,1104.7,817,816.7,744.4,692.4,684.2
15,669.4,644.2,651.8,643.3,703.3,767.8,834.8,886,939.2,991.1,971.5,904.8,890.8,838.7,827.2,822.7,814.8,810.5,878.5,820.3,910.6,1292.2,1271.9,1268.2,917.6,972,868.7,858.1,774.6,707,680.9
16,650.2,637,625.1,628.5,670.1,714.1,770,814,863.9,895.7,917.1,896.6,848,780.4,732.3,726.3,726.2,741.6,765.6,796.5,1174.1,1274.5,1256.2,1211.5,1178.2,1094.3,941.4,782.1,732.8,695.4,647.3
17,606.1,568.4,569,580.4,631.1,680.9,746,784.9,862.3,886.7,891.3,900.8,875.6,854.1,801.8,783.5,778.4,785.9,804.2,815.9,839.4,935.4,897.8,1162,825.3,801.7,777.1,807,710.3,650.6,621.3
18,590.2,556.7,547,572,644.2,710,767.4,858.7,876.6,894.5,938.2,890.9,889.6,861.5,839.2,812.9,812.6,797.3,810.1,819.4,1073.8,1243.5,1229.5,1188.6,1147.5,1106.3,993.1,805.1,747.1,670.7,656.9
19,598.8,615,607.8,614.7,638.2,689.6,755.1,845,886.3,940,942.5,932.1,882.5,895.5,846.5,844.7,831.1,847,863.4,893.3,880.2,1233.3,1232.8,1187.4,1160.6,970.1,856.7,789.6,737.9,665.7,651
20,617.9,618.5,615,598.9,649.1,687.5,754.2,809.7,889.2,926.6,935.2,931.1,895.1,860,853.7,804.7,779,808.4,787.9,750.5,881.3,1235.4,1222.4,1151.2,1131.8,911.8,814,726.6,670,603.1,587.4
21,574.6,563.1,559.2,567.1,613.7,652.2,704.1,741.8,729,728,723,709.6,672,598.2,558.5,520.7,529.6,542.1,564.1,629.3,803.8,882,877,1140.1,1070.6,828.2,756.4,696.1,597.7,526.5,515.7
22,497.5,489.2,491,498.1,539.3,609.8,669,735.1,797.9,837.4,865.5,881.4,867.3,809.2,798,774.3,774.8,800.4,813.8,834.8,883.5,1230.1,1256.2,1220.4,1175.8,1130.8,1038.7,794.9,707.1,705.4,621.9
23,595.3,588.8,616.4,612.4,638.7,686,754.9,834.5,835.9,876.8,915.3,907.6,861.8,814.3,696.8,740.7,712.6,728.7,753.2,777.1,841.4,1234.5,1210.7,1206.3,1165.2,885,768.3,765.4,727.8,664.2,631.2
24,603.2,612.5,586,599.8,664.1,689.8,763.2,823.6,914.4,951.1,934.1,910.7,862,826.4,819.4,797,784.8,801.1,838.5,830.7,1175.6,1237.4,1178.8,1226.5,1185.5,1002.5,830,811.7,728.2,663.8,668.1
25,637.5,616.9,623.3,630.7,690.9,766.8,824,891.1,935.3,965.1,966.1,918.4,848.9,849.6,792.1,798.8,795.5,809.8,830,841.6,879.6,1251,1245,1230.6,1196.7,994,881,787.3,721.5,653.7,638.3
26,612.7,617.9,605.9,619.2,659.6,739.3,818,846.6,901.6,983.6,960.7,888.4,843.8,826.2,790.4,801.1,814,815.2,847.1,925.7,844.3,1250.5,1248.2,1212.2,1167.4,1025.4,833,795.9,729.4,676.6,647
27,627.1,616.3,623.9,634.8,672.8,733.6,801.5,871.3,883.4,962,975.9,875.9,881.9,862.1,817.7,806.6,763,752.5,780.5,769,814.4,1276.8,1258.4,1221.7,1145.6,1115.9,1026.2,857.5,722.3,646.6,628.4
28,607.3,586.9,593.8,620,673.4,690.5,737,869.4,926.1,947.3,964.4,894.5,867.3,849.4,809.3,801.2,801.2,784.7,791.4,805.5,1076.8,1282.3,1273.4,1237.6,1189.4,1138.6,822.2,793.5,733,647.8,618.5
29,601.5,616.9,602.9,622.5,661.6,695.4,702.1,828.9,858.7,938.4,930.9,890.1,845.5,836.4,820.6,782.6,811.7,836.4,864.2,863.9,1250.2,1286.2,1278.9,1228.4,1181.5,1146.5,819.6,816,726.4,668.9,644.2
