Day,1:00,2:00,3:00,4:00,5:00,5:30,6:00,6:30,7:00,7:30,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,22:00,23:00,0:00
1,614.3,611,590.4,590.8,604.2,638.5,716,773.1,796.5,873.7,870.9,854.4,793.9,776.3,747.2,722.2,703.1,761.7,787.3,807.3,801.4,936.7,916.2,888.7,845.1,980,815,796,707.2,633.3,590.2
2,606.7,608.1,583.3,604.8,634.3,654.6,748.1,831,908.5,955.1,937.1,890.7,846.4,813,801.6,796.6,788,804.1,824.4,976.2,1137.9,1258.3,1242.6,1208.9,1210.6,1150.2,960.4,790.8,695,636.4,611.9
3,601.2,589.5,599,610.7,662.3,726.4,780.9,849.4,911.3,979.8,992.6,920.1,763.6,846.1,812.3,799.9,815.7,824.1,846.6,891,1195.4,1243.5,1269.1,1229.7,1145.2,1134,974.9,827.7,763.7,682.7,650.3
4,626,621.3,620.3,607.1,677.1,724.8,804.1,861.6,887.4,926.4,956.8,924.6,884.3,870.4,831,813.8,817.8,811.3,890.2,1004.1,1207.1,1286.4,1259.5,1240.9,1195.4,882.9,847.1,846.5,846.5,689.7,679.2
5,627.9,617.4,616.6,600.7,656.7,707.2,784.4,851.9,937.9,946.9,973.6,900.5,875.1,825.6,789.9,786.7,787.8,802.2,835.7,998.3,1189.4,1276.7,1261.4,1232.6,1201.8,856,836.3,822.5,727.5,682,629.8
6,609.3,595.6,590.5,563.7,642.8,733.6,776.9,403.6,858.7,948.2,945.8,883.3,869.1,823,793.2,789.6,784.1,810.7,838.7,841.9,889.7,950.7,1234.5,1232,1177.2,1054.7,987.6,853.5,725.8,662.4,640.6
7,612.7,606.7,600.1,600.8,653.1,716.9,797.1,883.7,913.8,964.9,973.4,948,871.6,828,811.3,792,798.5,834.3,844.9,1016.1,1172.4,1252.7,1234.2,1217.7,1211.5,992.7,835.5,815.2,747.5,682,642.5
8,593.8,591.7,600,596.1,639,685.1,745.2,822.4,836,902.6,909.2,904.7,847.1,761.1,751.7,708.5,724.2,731.5,732.1,778.3,833.7,915.8,913,897.5,839.6,1122.6,984.2,803.9,707.1,657.1,635.7
9,617.3,594.4,607.7,553.7,674.1,751.6,839.9,908,931.3,1014.7,983.7,914.6,897,857.4,834.6,810.4,830.6,808.7,843.6,956.9,1150.1,1256.4,1249.4,1215,1176.3,976,843.1,825.3,750.1,702,665.7
10,640.7,631.5,618.6,629.3,664.1,723.3,776.8,823.3,912.2,987.9,984.6,974.8,908.7,856.4,814.2,803.4,787.4,805.3,840.3,812.3,969.5,1259.6,1268.2,1227.5,1184.4,1036.4,839,836.5,731.7,665,642.7
11,616.7,608.2,608.7,605.9,659.1,720.2,778.1,845.1,913.2,975.6,981.1,937.7,905.7,888.4,832.9,837.2,825.5,820.7,837.8,795.2,844.7,1257.4,1252.9,1213.4,1181,1010.4,854.8,836.9,730.9,675.8,642.1
12,616.9,613.5,602.6,607.2,105.3,382.2,764.1,841.4,960.9,990.1,990.6,922.9,885.2,864.2,848.2,830.7,855.9,867,870.5,823.2,857.1,204.6,1016.3,1244.5,1211.5,1014.8,908.7,860.8,759.2,692.6,672.4
13,645.1,623.3,605.9,610.2,659.3,707.3,799.6,869,910.5,976.7,977.3,940.7,909.3,860.6,800.3,813.1,816,844.8,861.6,863.4,813,1251.2,1288,1258.9,1218.7,1201.2,1087.1,882.5,772.4,701.2,696.8
14,655.5,649.7,639.1,621.7,677.3,729.9,811.4,849.5,956.5,1001.5,990.7,928.3,897.1,823,791.3,790.9,788,779.8,819,795.7,1132.9,1269.8,1266.7,878.9,1204.1,1124.7,1063.9,843.7,736.7,694.3,651.5
15,107.4,583.4,562.8,590,622.4,649.9,719.3,770,812.6,878.4,888.9,871,845,787.7,783.7,720.5,726,723.8,720.3,870.9,941.4,1233.3,1229.5,1220.7,1181.4,960.3,850.4,837.8,718.8,643.6,617.4
16,579,577.6,572.6,573.2,624.3,630,756.8,813.1,876.6,956.4,979.4,931.3,884.8,865.2,846.3,820.8,895.9,910.3,909.9,951.1,986.6,1280.6,1274.4,1240.4,1198.3,954.4,848.8,841.7,770.2,674.9,664.4
17,630.2,629.1,613.1,628.2,672.1,716,784.3,870.6,931.2,963.3,1000,932.1,885.1,861.3,785.5,822.8,814.6,797.7,822.9,788.5,869.7,1265.6,1269.4,1214.3,1189.3,1144.9,957.5,843,757,679.9,643
18,611.5,593.6,597.9,612.3,656.4,714.1,760.3,856.2,902.7,973.5,996.1,916.2,889.4,876.8,835.3,822,843.9,812.6,838,917.2,1108.7,1239.6,1334.4,945,1176.7,1142.1,1093.6,844.8,746.2,680,663.4
19,648.6,619.8,620.8,626.8,668.4,697.7,777.1,911.7,942.3,1020.6,1030.6,929.9,983.8,922.1,854.2,821.4,793.1,793.6,837.6,1044.6,1104.9,839.5,1273.4,1249.8,1215.5,1034.3,861.8,828.2,742,684.7,644.3
20,630.1,626.9,629.7,625,656.4,653,733.6,815.2,846.4,934,962.4,945.5,922.9,862.4,852,843.4,823.9,844.1,842.6,805.3,1073.7,1272,1246.2,1246.4,1225.3,1041.1,914.2,898.4,760.4,691.3,656.2
21,555.2,605.9,603.1,612.8,658.6,711.5,744.9,861.7,941.7,1011,1023.9,903.6,939.6,871.3,855.8,828.6,840,845.8,868.5,875.6,1118.3,1283.9,1280.2,1261.8,1211.7,1067.5,875.1,880.3,779,688.3,657.5
22,620.9,617.9,614.6,622.7,634.7,684,707.3,761.8,802.4,911.1,927.9,921.6,908,850.5,807.9,763.9,739.7,716.6,757.8,769.9,831.6,1188.8,1234.7,1207.9,1167.9,1108.8,956.2,874.4,743.6,683.5,647.6
23,611.3,591.2,587.5,608.4,615.9,655.6,717.1,828.2,880.7,961.8,997.4,999.1,917.8,931.7,855.1,854.1,864.2,870.5,923,919.1,1230.5,1309.9,1314.4,1284.4,1233.5,1230.6,1227.5,905.4,781.9,726.9,693
24,665,642.1,654.9,650.9,685.5,739.5,848.1,911.7,990.1,1025.1,1065.3,1000.7,957.4,943.2,878.5,858.8,861.7,878.8,913.5,896.3,1114.7,1281.5,1313.1,1285.3,1253.6,1240,1211.1,905.2,786.9,727.7,700.3
25,669.4,649.3,650.7,655.3,691,731.5,764.2,779.7,857.6,970.8,1020.7,990.4,984.5,958.2,896.7,880.4,874,863.5,862.2,899.9,1151.3,1298.5,1328.7,1303.8,1261.7,1197.4,1172.3,1004.9,805.8,715.3,683.7
26,647.5,632.4,618,616.8,676,825.7,858.9,811.3,960.3,1067,1074.3,1052.5,143.5,920.3,906,876.1,874.9,860.7,902.5,815.6,1033.4,1257.7,1261.9,1230.4,1217.3,1264.2,1108.2,928.7,838.6,747.2,691.1
