,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0
903.27,446.585,438.285,420.435,455.285,423.835,428.235,418.835,427.185,439.635,442.045,469.425,478.075,445.225,419.05,450.775,412.975,395.925,396.025,403.325,392.725,384.225,406.725,418.175,370.125,380.125,396.275,373.425,424.425,443.925,447.975
848.72,584.5966666666667,576.3966666666666,555.9966666666667,593.9633333333334,550.2633333333333,541.0633333333334,542.7966666666666,565.2633333333333,542.5633333333334,579.1766666666667,618.75,618.0166666666667,571.0166666666668,551.8666666666667,584.9499999999999,532.1166666666667,516.4166666666666,517.9166666666666,515.5166666666667,509.48333333333335,496.8500000000001,541.75,545.5833333333334,512.9499999999999,483.65000000000003,515.8833333333333,489.15000000000003,541.5833333333334,574.9499999999999,584.36
848.42,870.5033333333334,855.77,828.77,884.27,809.27,780.2366666666667,804.5366666666667,839.07,811.8033333333333,861.79,708.5833333333334,893.15,848.8166666666666,814.1666666666666,858.25,771.8833333333333,756.85,756.7166666666667,755.9166666666666,742.4499999999999,723.9166666666666,788.35,806.85,763.8833333333333,699.1833333333334,756.1166666666667,719.3833333333333,787.75,836.6833333333334,847.2800000000001
844.32,853.82,840.2866666666665,819.2533333333334,864.7199999999999,782.32,725.1866666666666,785.5533333333333,827.9533333333334,793.7866666666667,853.0733333333334,493.4666666666667,865.4666666666666,819.6999999999999,802.2333333333332,837.4,750.5,742.0333333333333,746.4333333333334,734.9333333333334,720.9333333333334,549.6,780.4666666666666,805.7333333333332,779.4666666666667,682.6333333333333,743.9,714.4666666666667,770.5,817.1666666666666,829.0933333333332
856.17,822.6366666666667,826.3366666666667,809.8366666666667,854.8033333333333,777.07,697.6366666666667,780.7033333333334,815.6700000000001,816.77,856.7566666666667,281.34999999999997,846.8166666666666,805.8166666666667,795.9833333333332,818.0833333333334,744.25,704.9499999999999,742.0500000000001,739.3166666666666,707.8166666666666,549.0166666666668,773.2833333333333,805.85,767.25,664.1166666666667,735.4166666666666,708.65,768.3166666666666,809.2166666666667,814.1033333333334
864.17,773.02,814.12,804.5533333333333,844.42,779.7866666666667,694.8866666666667,771.3533333333334,814.42,815.2866666666667,851.8733333333333,281.2,858.6666666666666,789.1,795.5,803.1,745.1,692.5,744.7999999999998,743.1,697.9666666666666,565.4333333333334,778.1,808.3000000000001,758.8333333333334,656.3000000000001,734.9,704.6999999999999,767.2666666666668,803.5666666666666,807.2666666666668
879.42,752.8866666666668,818.62,808.02,845.7866666666667,796.8533333333334,704.3866666666667,780.82,818.4866666666667,815.1533333333333,847.44,467.7666666666667,864.9333333333334,785.7000000000002,804.9666666666667,800.5,743.4333333333333,680.7333333333332,747.4666666666667,755.2333333333332,710.5666666666666,746.9,785.9,806.3000000000001,752.3666666666667,708.0666666666666,735.5,732.8000000000001,774.6,804.8666666666668,812.6700000000001
898.42,758.37,827.4033333333333,822.7033333333334,872.57,809.0366666666665,725.2033333333334,792.9033333333333,831.6700000000001,822.4033333333333,848.19,664.85,875.2833333333333,787.8833333333332,819.85,817.4500000000002,747.0500000000001,732.25,756.3833333333332,767.5500000000001,729.9833333333332,762.7833333333334,804.75,807.1166666666667,754.85,790.0499999999998,747.7166666666666,765.1833333333334,787.65,804.4166666666666,815.35
941.86,791.0666666666667,846.0,843.6999999999999,902.8333333333334,830.0999999999999,753.2333333333332,812.0666666666666,843.1,833.5,866.9200000000001,865.2800000000001,878.18,785.5133333333333,836.88,832.7466666666668,773.18,765.7133333333335,774.88,790.5466666666666,744.0133333333333,789.4133333333333,831.5466666666666,811.6466666666666,772.6466666666666,880.1466666666666,767.9133333333333,801.9133333333333,811.4133333333334,828.0133333333333,821.3466666666667
946.26,809.1466666666666,851.2466666666668,871.7800000000001,940.88,852.6466666666665,795.2133333333333,834.7466666666666,865.5466666666667,846.0133333333333,893.8000000000001,882.36,876.46,796.8266666666667,858.4266666666666,880.5933333333334,793.66,802.25,773.4266666666666,812.7933333333334,745.2933333333334,814.2933333333334,850.1266666666667,819.5266666666666,797.1933333333333,899.4266666666666,798.1933333333333,817.66,828.96,855.8933333333333,821.9933333333333
924.76,823.36,860.4933333333333,885.2266666666668,949.9266666666666,874.3266666666667,822.5933333333332,853.56,903.36,868.8933333333333,913.5133333333333,900.3066666666667,907.4066666666666,806.94,877.5066666666667,877.44,812.14,804.93,780.8066666666667,824.94,763.9066666666666,831.5733333333334,858.1733333333333,835.8066666666667,820.9066666666666,900.64,813.7400000000001,835.2399999999999,837.1066666666667,880.5066666666667,819.6733333333333
908.16,824.16,857.6933333333333,902.7266666666668,940.4266666666666,876.2599999999999,829.2599999999999,875.2599999999999,927.23,887.2933333333334,928.4466666666667,915.4066666666668,945.2733333333334,811.3400000000001,895.2399999999999,883.7733333333332,807.2066666666668,811.0300000000001,785.44,836.1066666666667,797.64,829.9066666666666,867.9066666666668,841.4733333333334,826.9733333333334,891.9066666666668,820.4066666666668,838.6066666666666,841.7400000000001,884.9066666666668,835.3066666666667
861.26,832.66,857.1266666666667,911.3933333333334,928.7266666666666,867.9933333333333,829.36,892.3266666666667,930.3299999999999,904.0266666666666,940.2466666666666,935.54,997.8066666666667,809.94,902.5066666666667,611.2733333333334,814.54,833.2733333333334,834.54,854.04,830.1066666666666,820.1066666666666,881.1066666666667,851.0066666666667,831.1066666666667,883.7733333333334,804.2733333333334,835.2733333333334,842.7399999999999,891.2066666666666,849.1066666666667
871.26,848.2933333333334,849.1266666666667,927.1933333333333,942.2933333333334,866.9266666666666,856.6266666666667,919.0266666666666,920.5966666666667,894.3266666666667,912.2566666666665,940.04,1005.2066666666666,810.3066666666667,914.44,617.3066666666667,823.2066666666666,861.2733333333334,870.7399999999999,856.2399999999999,844.8400000000001,806.8066666666667,887.7400000000001,859.7400000000001,832.8733333333333,884.7733333333334,788.1733333333333,824.3066666666667,858.0066666666667,908.1733333333333,860.4066666666668
901.26,878.36,854.8933333333333,928.2933333333334,958.7600000000001,876.66,878.6933333333333,934.66,926.7266666666666,886.9933333333332,901.1566666666666,943.0066666666667,997.5733333333333,823.7733333333334,922.5066666666667,635.04,824.7066666666666,883.6733333333335,902.0733333333333,861.14,841.3733333333333,813.1733333333333,887.2066666666666,864.4733333333334,847.0733333333334,876.2066666666666,753.9399999999999,813.8066666666667,869.5066666666667,926.7066666666666,865.8733333333333
888.36,895.6266666666666,856.1933333333333,932.1266666666667,968.5266666666666,889.8266666666667,902.36,933.2933333333334,935.8933333333334,879.6933333333333,902.0566666666667,936.8066666666667,980.1066666666666,830.4066666666668,934.0733333333334,894.3733333333333,807.1733333333335,881.7733333333334,913.8066666666667,856.1733333333333,844.7400000000001,825.4733333333334,886.6733333333333,865.2066666666666,848.8400000000001,864.6066666666666,743.9066666666668,802.3733333333333,885.8733333333333,916.2400000000001,859.6066666666667
884.56,907.56,846.9933333333332,940.0266666666666,949.4933333333333,899.2266666666668,905.9933333333333,920.5266666666666,959.4933333333333,847.5933333333332,919.68,932.0733333333334,962.2399999999999,825.3066666666667,928.3733333333333,917.1733333333333,785.54,861.04,901.9066666666668,854.1733333333333,852.0066666666667,843.4733333333334,888.9733333333334,856.1066666666667,843.04,847.5733333333334,755.4399999999999,799.94,887.64,893.64,855.4733333333334
896.71,890.21,837.21,950.3433333333332,939.1433333333333,917.61,903.5433333333334,913.2766666666666,979.5099999999999,819.41,932.13,667.6566666666666,952.5899999999998,816.1233333333333,926.4566666666666,922.6233333333333,781.8566666666667,825.89,884.9900000000001,845.2566666666667,851.1899999999999,844.9566666666666,893.2900000000001,847.59,840.4900000000001,846.1233333333333,793.09,812.7233333333334,878.1899999999999,867.0233333333332,841.59
918.66,868.5433333333334,832.91,956.0099999999999,916.0099999999999,933.3433333333332,902.91,911.9433333333333,1001.8533333333334,788.9766666666668,918.23,646.8566666666667,927.4233333333332,836.2233333333334,920.09,924.9233333333333,795.0566666666667,794.7233333333334,865.9233333333333,832.5566666666667,828.89,843.6233333333333,882.9566666666668,836.0233333333334,846.2233333333334,851.2566666666668,810.8566666666667,826.9566666666666,874.2566666666667,869.2233333333334,832.3566666666667
922.62,847.1966666666667,823.4966666666666,949.5966666666667,911.0966666666667,943.9633333333333,884.63,905.5300000000001,991.14,794.2966666666667,931.18,629.3066666666667,917.1733333333332,854.64,901.0733333333334,917.2399999999999,795.9733333333334,758.7733333333334,872.4066666666666,809.7733333333334,779.5733333333333,852.7399999999999,873.7733333333334,828.44,847.4733333333334,838.14,808.8066666666667,824.8733333333333,866.7066666666666,873.4733333333334,827.1066666666666
1154.02,843.1,806.7333333333332,935.5,900.6333333333333,913.7333333333332,882.4666666666666,895.9333333333334,982.8766666666667,786.6333333333333,925.2466666666666,872.6733333333333,911.4399999999999,866.7066666666666,882.4399999999999,909.7733333333334,788.7733333333334,756.8400000000001,859.7399999999999,801.4399999999999,760.6066666666666,847.8066666666667,839.2733333333334,817.5400000000001,837.84,822.2066666666666,794.34,810.4066666666668,863.4733333333334,887.0733333333334,819.3733333333333
1191.32,839.1533333333333,789.2199999999999,922.2533333333334,903.4200000000001,892.8533333333334,850.9200000000001,865.2866666666667,973.4533333333334,781.7533333333334,938.9666666666667,872.7266666666666,911.16,851.7933333333334,866.2933333333334,895.6266666666667,780.4599999999999,759.46,841.6933333333333,785.66,796.1933333333333,845.2266666666668,828.0266666666666,811.3266666666667,824.0933333333334,824.8933333333333,784.6933333333333,796.5266666666666,849.2933333333334,897.0266666666666,816.2266666666668
1195.02,838.3533333333334,791.9200000000001,928.8866666666667,892.6533333333333,868.8533333333334,841.0866666666667,849.8866666666667,976.82,753.32,922.7033333333334,876.43,916.0299999999999,912.1300000000001,878.3633333333333,905.83,772.8299999999999,775.9633333333333,822.13,842.0300000000001,829.1300000000001,846.33,814.7966666666666,807.8966666666666,813.93,867.4633333333333,784.8299999999999,799.93,842.33,903.8966666666666,803.6633333333333
1205.37,849.2033333333334,809.0366666666667,985.07,966.4033333333333,887.77,867.0366666666667,874.3366666666667,994.7033333333333,746.37,902.2566666666668,881.5500000000001,959.9833333333332,1007.3166666666667,867.1166666666667,976.75,871.5166666666665,788.2833333333333,821.2833333333333,904.5166666666668,853.65,882.4166666666666,829.75,852.2166666666666,859.6833333333334,950.4833333333335,843.8499999999999,817.3166666666666,848.9499999999999,950.75,913.5833333333334
1259.97,981.1533333333333,846.32,1104.62,1069.4533333333334,1000.12,821.4200000000001,1005.4533333333334,1081.7533333333333,784.6533333333333,903.04,901.5,1060.8,1134.3666666666668,980.1,1091.8666666666668,998.6999999999999,821.9666666666667,846.4333333333334,1029.7666666666667,944.2666666666668,1007.2000000000002,960.9333333333334,981.14,997.0,1033.6666666666667,982.2999999999998,936.7999999999998,871.6,1055.5666666666666,1045.5666666666666
